title,cluster,description,keywords
Planning Zoning and Economic Development Committee Kemper Arena/West Bottoms Work Session #2,6,Planning Zoning and Economic Development Committee Kemper Arena/West Bottoms Work Session #2,"plan, developer, focus, city, neighborhood, street"
Smoke school registration letter,3,Letter announcing fall 2014 visual opacity training or smoke school,"downgrade, lists, april, presentation, public, group"
Planning Zoning and Economic Development Committee Kemper Arena/West Bottoms Work Session #4,6,Planning Zoning and Economic Development Committee Kemper Arena/West Bottoms Work Session #4,"plan, developer, focus, city, neighborhood, street"
"Historic Preservation Commission Minutes - June 27, 2014",32,"Approved minutes from the June 27, 2014 hearing of the Historic Preservation Commission.","historic, preservation, historic, preservation, historic, commission"
"Historic Preservation Commission Minutes - June 13, 2014",32,"Approved minutes from the June 13, 2014 hearing of the Historic Preservation Commission.","historic, preservation, historic, preservation, historic, commission"
"Historic Preservation Commission Minutes - May 30, 2014",32,"Approved minutes from the May 30, 2014 hearing of the Historic Preservation Commission.","historic, preservation, historic, preservation, historic, commission"
"Historic Preservation Commission Minutes - April 25, 2014",32,"Approved minutes from the April 25, 2014 hearing of the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Historic Preservation Commission Minutes - March 28, 2014",32,"Approved minutes from the March 28, 2014 hearing of the Historic Preservation Commission.","historic, preservation, historic, preservation, historic, commission"
"Historic Preservation Commission Minutes - January 24, 2014",32,"Approved minutes from the January 24, 2014 hearing of the Historic Preservation Commission.","historic, preservation, historic, preservation, historic, commission"
"Historic Preservation Commission Minutes - February 28, 2014",32,"Approved minutes from the February 28, 2014 hearing of the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
Section 3 Business Concerns Distribution List 8-28-2014,3,Section 3 Business Concerns Distribution List 8-28-2014,"downgrade, lists, april, presentation, public, group"
Kansas City Urban Design Guidelines,3,Design guidelines for historic properties designated to the Kansas City Register of Historic Places.,"downgrade, lists, april, presentation, public, group"
KC Streetcar Brand Presentation,3,"Willoughby Design, Inc. presentation of the final recommendation for the KC streetcar identity, including the name, KC Streetcar, an original brand icon, word mark, favicon, design system and color palette.","downgrade, lists, april, presentation, public, group"
Potholes as of 8.28.14 Clean File For Govstat,34,This is a static upload of pothole data sorted by year and month with a few basic statistics. It is used in a govstat dashboard.,"data, traffic, st, traffic, census, city"
Details& Guidlines(revised- Aug2014),3,Adopt-a-Street details and guidelines,"downgrade, lists, april, presentation, public, group"
Agreement(revised- Aug2014),13,Adopt a Street agreement form,"form, application, plan, permit, developer, neighborhood"
Covenant(revised- Aug2014),3,Adopt-a-Street covenant,"downgrade, lists, april, presentation, public, group"
Planning Department Staff Directory,29,Staff directory for the KCMO City Planning & Development Department.,"kcmo, census, data, reports, map, department’s"
Planning Department Org Chart,29,Organization chart for the KCMO City Planning & Development Department.,"kcmo, census, data, reports, map, department’s"
May 2014 Financial Report,16,May 2014 Financial Report,"reports, assessments, neighborhood, construction, annual, work"
June 2014 Report,16,June 2014 Monthly Report,"reports, assessments, neighborhood, construction, annual, work"
"KCMO 2013-14 Appendix B GIS Maps By Zip Code - Aug 20, 2014",3,FY13-14 Citizen Survey results mapped by zip code.,"downgrade, lists, april, presentation, public, group"
"KCMO 2013-14 Appendix A GIS Maps By District - July 14, 2014",29,KCMO 2013-14 Citizen Survey Results mapped by City Council District; districts are shaded based on the average response to each question.,"kcmo, census, data, reports, map, department’s"
2015 CONSOLIDATED ACTION PLAN SCHEDULE,6,2015 CONSOLIDATED ACTION PLAN SCHEDULE,"plan, developer, focus, city, neighborhood, street"
Schedule IV Adopted Budget FY 2014-2015,14,Schedule IV Adopted Budget FY 2014-2015 by category - as taken directly from budget book.,"budget, policy, 's, year, code, plan"
Procurement Supplier Vendor Application,18,Procurement Supplier Vendor Application,"application, program, street, plan, commission, city"
2013 14 Kansas City Missouri Citizen Satisfaction Survey Final Report,33,2013 14 Kansas City Missouri Citizen Satisfaction Survey Final Report,"city, kansas, kansas, city, kansas, missouri"
2012 13 Kansas City Missouri Citizen Satisfaction Survey Final Report,33,2012 13 Kansas City Missouri Citizen Satisfaction Survey Final Report,"city, kansas, kansas, city, kansas, missouri"
Budget by Appropriation Unit FY14-15,14,This is a pie chart of the percent of the FY14-15 budget allocated to each appropriation unit,"budget, policy, 's, year, code, plan"
1999 Annual Report - City Auditor's Office,16,This is an annual report of our work for fiscal year 1999.,"reports, assessments, neighborhood, construction, annual, work"
2013 CAPER,16,2013 Consolidated Annual Performance and Evaluation Report,"reports, assessments, neighborhood, construction, annual, work"
SWOPE AREA PLAN 08.07.2014 (1),17,Swope Area Plan Draft for City Plan Commission 8-7-14,"area, area, plan, map, industries, presentation"
Governance Assessment 2007,0,This audit focuses on the governance practices of 13 of the city's boards and commissions.,"audit, audit, focus, city, 's, management"
20071128 Stormwater Fee Billing Performance Audit,0,This audit focused on the accuracy and timeliness of stormwater billing and compliance with city code requirements and department procedures.,"audit, audit, focus, city, 's, management"
311 Quality of Service,3,311 Quality of Service,"downgrade, lists, april, presentation, public, group"
SWOPE AREA PLAN 08.01.2014,17,swope area plan draft 8-1-14,"area, area, plan, map, industries, presentation"
Swope Data Book 092412 Web,17,Swope Area Plan Databook,"area, area, plan, map, industries, presentation"
20140804 Memo To Council About Fire CAD Life Cycle - Council Memo,3,"This memo is in response to the Finance, Governance and Ethics Committee inquiry regarding the life cycle of the software and hardware for the Fire Departments Computer Aided Dispatch (CAD) System.","downgrade, lists, april, presentation, public, group"
Facilities KPI3 07162014,3,Facilities KPI Number 3,"downgrade, lists, april, presentation, public, group"
20080206 Impact of Early Retirement Incentive Program Performance Audit,3,"City management proposed an early retirement incentive program to encourage long-term, highly paid employees to retire.","downgrade, lists, april, presentation, public, group"
Corporate Safety Risk KPI5 07162014,3,Corporate Safety Risk KPI Number 5,"downgrade, lists, april, presentation, public, group"
20080116 City Manager Needs to Strengthen  RFP Contracting Practices Performance Audit,31,"As directed by the City Council, this audit looked at the city's RFP process and the solicitation, evaluation, and selection process to recommend a vendor for the Document Output Management and Mail Services RFP. Available on -1/16/08","process, master, developer, land, program, permit"
Procurement KPI5 07162014,3,Procurement KPI Number 5,"downgrade, lists, april, presentation, public, group"
20080220 Capital Improvements Management Office Follow-Up Performance Audit,0,The purpose of this audit was to determine the status of CIMO's high priority projects and determine the reliability and availability of capital project data.,"audit, audit, focus, city, 's, management"
20071212 Community Improvement District Reporting Needs Improvement Performance Audit,16,This report is designed to answer the following question: Are the community improvement districts meeting statutory reporting requirements?,"reports, assessments, neighborhood, construction, annual, work"
Procurement KPI4 07162014,3,Procurement KPI Number 4,"downgrade, lists, april, presentation, public, group"
Procurement KPI3 07162014,3,Procurement KPI number 3,"downgrade, lists, april, presentation, public, group"
Procurement KPI2 07162014,3,Procurement KPI Number 2,"downgrade, lists, april, presentation, public, group"
2015 Election Guide 080414,3,2015 Election Guide 080414,"downgrade, lists, april, presentation, public, group"
Procurement KPI1 07162014,3,Procurement KPI Number 1,"downgrade, lists, april, presentation, public, group"
ITKPI5 07162014,11,Information Technology KPI Number 5,"information, standards, documents, city, master, required"
ITKPI2 07162014,11,Information Technology,"information, standards, documents, city, master, required"
ITKPI1 07162014,11,Information Technology KPI Number 1,"information, standards, documents, city, master, required"
Facilities KPI2 07162014,3,Facilities KPI Number 2,"downgrade, lists, april, presentation, public, group"
Facilities KPI1 07162014,3,Facilities KIP Number 1,"downgrade, lists, april, presentation, public, group"
CANDIDATE TAX DECLARATION V2,3,CANDIDATE TAX DECLARATION V2,"downgrade, lists, april, presentation, public, group"
Corporate Safety Risk KPI4 07162014,3,Corporate Safety Risk KPI Number 4,"downgrade, lists, april, presentation, public, group"
Corporate Safety Risk KPI2 07162014,3,Corporate Safety Risk KPI Number 2,"downgrade, lists, april, presentation, public, group"
Corporate Safety Risk KPI1 07162014,3,Corporate Safety Risk KPI Number 1,"downgrade, lists, april, presentation, public, group"
NOMINATING PETITION At Large,3,NOMINATING PETITION At Large,"downgrade, lists, april, presentation, public, group"
NOMINATING PETITION In District,3,NOMINATING PETITION In District,"downgrade, lists, april, presentation, public, group"
NOMINATING PETITION Mayor,3,NOMINATING PETITION Mayor,"downgrade, lists, april, presentation, public, group"
20080305 Review of the Submitted Budget for Fiscal Year 2009,14,"This performance audit, a review of the city manager's submitted budget, provides the City Council with information about the city's financial condition and the fiscal year 2009 submitted budget.","budget, policy, 's, year, code, plan"
