title,cluster,description,keywords
Edmonton Arts Council - Public Art,4,"City of Edmonton Public Art Collection is a collection of works that the City has acquired in various ways over its history: some may have commemorated a special event, some may have been gifts to the City. Many of the artworks acquired in recent years have been generated by the City's Percent for Art to Provide and Encourage Art in Public Areas Policy. This public art data-set is a work-in-progress. There is more to come.","edmonton, city, developer, 's, data, dataset"
"Purchase Orders Over $10,000 - (2012 - 2013)",1,"Annual list of all Purchase Orders (typically one-time purchases) over $10,000. Items that could exceed $10,000, but there is no guarantee that any value will be expended, as they are issued on an 'if, as and when required' basis.","list, edmonton, schools, fields, city, fields"
Low Impact Development Inventory,4,"City of Edmonton promotes Low Impact Development (LID). Seven LID Best Management Practices are Bioswales, Bioretention, Box Planters, Rain Water Harvesting, Green Roofs, Naturalized Drainage Ways, and Permeable Pavement.","edmonton, city, developer, 's, data, dataset"
2014 Census - Dwelling Unit By Structure Type (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 49 are not posted to protect the information collected. The designation of “No Response” includes households from which no census data could be collected or only partial data was available. “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
Residential Development Permits,4,Summary of annual neighbourhood permits for new building construction and alterations. This data-set is from 2009 to present year. Data is updated semi-annually.,"edmonton, city, developer, 's, data, dataset"
Edmonton - Historic  Housing Starts,4,New housing construction in the City of Edmonton and Edmonton Region. Data is adapted from the Canadian Mortgage and Housing Corporation.,"edmonton, city, developer, 's, data, dataset"
Edmonton - Annual Zoning Category Amounts,4,Edmonton's total land area by general land use. No data available for 2013,"edmonton, city, developer, 's, data, dataset"
Mature Neighbourhood Reinvestment,4,Summary of development activities in Mature Neighbourhood Overlay neighbourhoods. This data-set is from 2000 to present year. Data is updated annually.,"edmonton, city, developer, 's, data, dataset"
2014 Census - Population by Citizenship (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Citizenship (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Citizenship (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 49 are not posted to protect the information collected. The designation of “No Response” includes households from which no census data could be collected or only partial data was available. “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
